Sigla OACI,Nacional ou Estrangeira
AAL,ESTRANGEIRA
ABD,ESTRANGEIRA
ABJ,BRASILEIRA
ABZ,BRASILEIRA
ACA,ESTRANGEIRA
AEA,ESTRANGEIRA
AEY,ESTRANGEIRA
AFL,ESTRANGEIRA
AFR,ESTRANGEIRA
ALV,ESTRANGEIRA
AMG,BRASILEIRA
AMX,ESTRANGEIRA
APP,NÇO INFORMADO
APW,ESTRANGEIRA
ARE,ESTRANGEIRA
ARG,ESTRANGEIRA
ARU,NÇO INFORMADO
AUT,NÇO INFORMADO
AVA,ESTRANGEIRA
AWE,ESTRANGEIRA
AZA,ESTRANGEIRA
AZU,BRASILEIRA
BAW,ESTRANGEIRA
BCA,BRASILEIRA
BET,BRASILEIRA
BLC,BRASILEIRA
BOV,ESTRANGEIRA
BQB,ESTRANGEIRA
BRB,BRASILEIRA
BSI,NÇO INFORMADO
CCA,ESTRANGEIRA
CDN,ESTRANGEIRA
CFG,ESTRANGEIRA
CIU,ESTRANGEIRA
CKS,ESTRANGEIRA
CLX,ESTRANGEIRA
CMP,ESTRANGEIRA
COA,ESTRANGEIRA
CRX,ESTRANGEIRA
CUB,ESTRANGEIRA
CWC,ESTRANGEIRA
DAL,ESTRANGEIRA
DLH,ESTRANGEIRA
DRD,ESTRANGEIRA
DSM,ESTRANGEIRA
DTA,ESTRANGEIRA
EAE,NÇO INFORMADO
EDW,ESTRANGEIRA
EEA,ESTRANGEIRA
EIA,NÇO INFORMADO
ELY,ESTRANGEIRA
ETD,ESTRANGEIRA
ETH,ESTRANGEIRA
EUU,ESTRANGEIRA
FDX,ESTRANGEIRA
FWI,ESTRANGEIRA
FYW,BRASILEIRA
GEC,ESTRANGEIRA
GL0,NÇO INFORMADO
GL2,NÇO INFORMADO
GLO,BRASILEIRA
GPT,NÇO INFORMADO
GTI,ESTRANGEIRA
IBE,ESTRANGEIRA
ICV,ESTRANGEIRA
INC,Antilhas Holandesas
ITB,BRASILEIRA
ITI,BRASILEIRA
ITM,BRASILEIRA
IWD,ESTRANGEIRA
JAL,ESTRANGEIRA
JKK,ESTRANGEIRA
KAL,ESTRANGEIRA
KLM,ESTRANGEIRA
LAE,ESTRANGEIRA
LAN,ESTRANGEIRA
LAP,ESTRANGEIRA
LCO,ESTRANGEIRA
LDI,ESTRANGEIRA
LLB,ESTRANGEIRA
LPE,ESTRANGEIRA
LPR,NÇO INFORMADO
LRC,ESTRANGEIRA
LTG,BRASILEIRA
LVG,ESTRANGEIRA
LXP,ESTRANGEIRA
MAA,ESTRANGEIRA
MEA,ESTRANGEIRA
MEK,NÇO INFORMADO
MEL,BRASILEIRA
MKA,ESTRANGEIRA
MPH,ESTRANGEIRA
MPX,ESTRANGEIRA
msq,NÇO INFORMADO
MSQ,BRASILEIRA
MST,BRASILEIRA
MWM,
MXA,ESTRANGEIRA
NCT,NÇO INFORMADO
NES,BRASILEIRA
NHG,BRASILEIRA
NHT,NÇO INFORMADO
NLU,ARUBA
NRA,BRASILEIRA
OCA,NÇO INFORMADO
ONE,BRASILEIRA
PAC,ESTRANGEIRA
PAM,BRASILEIRA
PEP,BRASILEIRA
PLI,ESTRANGEIRA
PLY,BRASILEIRA
PTB,BRASILEIRA
PTN,BRASILEIRA
PUA,ESTRANGEIRA
QTR,ESTRANGEIRA
RAM,NÇO INFORMADO
RDN,ESTRANGEIRA
RIO,BRASILEIRA
RLE,BRASILEIRA
RLR,NÇO INFORMADO
ROI,ESTRANGEIRA
RSL,BRASILEIRA
RSU,ESTRANGEIRA
RZO,ESTRANGEIRA
SAA,ESTRANGEIRA
SAB,NÇO INFORMADO
SBA,BRASILEIRA
SIA,ESTRANGEIRA
SKC,BRASILEIRA
SKX,NÇO INFORMADO
SLM,ESTRANGEIRA
SLX,BRASILEIRA
STU,NÇO INFORMADO
SUL,BRASILEIRA
SWR,ESTRANGEIRA
T7B,NÇO INFORMADO
T9B,NÇO INFORMADO
TAB,BRASILEIRA
TAE,NÇO INFORMADO
TAM,BRASILEIRA
TAP,ESTRANGEIRA
TBA,BRASILEIRA
TCJ,NÇO INFORMADO
TCV,ESTRANGEIRA
THY,ESTRANGEIRA
TIB,BRASILEIRA
TIM,BRASILEIRA
TIN,NÇO INFORMADO
TIO,NÇO INFORMADO
TLL,NÇO INFORMADO
TOB,NÇO INFORMADO
TPA,ESTRANGEIRA
TPE,BRASILEIRA
TPU,ESTRANGEIRA
TSD,BRASILEIRA
TTL,BRASILEIRA
TU4,NÇO INFORMADO
TU6,NÇO INFORMADO
TUI,NÇO INFORMADO
TUS,BRASILEIRA
TVJ,BRASILEIRA
UAE,ESTRANGEIRA
UAL,ESTRANGEIRA
UPS,ESTRANGEIRA
UVG,NÇO INFORMADO
VBR,NÇO INFORMADO
VCR,BRASILEIRA
VLO,BRASILEIRA
VRG,BRASILEIRA
VRN,BRASILEIRA
VSO,NÇO INFORMADO
VSP,BRASILEIRA
WEB,BRASILEIRA
